food_id,food_name,food_description,food_price,food_rating,food_remain
1,"Grilled Chicken","Juicy grilled chicken served with a side of vegetables",12.99,4.50,10
2,"Chicken Parmesan","Breaded chicken topped with marinara sauce and melted cheese",14.99,4.20,8
3,"Chicken Alfredo","Creamy pasta dish with grilled chicken and Alfredo sauce",11.99,3.80,12
4,"Lemon Pepper Chicken","Tender chicken seasoned with zesty lemon pepper",10.99,4.30,15
5,"Chicken Caesar Salad","Fresh romaine lettuce topped with grilled chicken and Caesar dressing",8.99,4.60,20
6,"Buffalo Chicken Wings","Crispy chicken wings tossed in spicy buffalo sauce",9.99,4.10,18
7,"Chicken Fajitas","Sizzling chicken strips served with onions, peppers, and tortillas",13.99,4.40,10
8,"Honey Mustard Chicken","Grilled chicken glazed with sweet and tangy honey mustard sauce",12.99,3.40,10
9,"Chicken Stir-Fry","Assorted vegetables and tender chicken stir-fried in a savory sauce",11.99,4.20,12
10,"Chicken Shawarma","Marinated chicken wrapped in pita bread with garlic sauce",9.99,4.30,15
11,"Teriyaki Chicken","Grilled chicken glazed with teriyaki sauce and served with rice",12.99,4.40,12
12,"Chicken Tikka Masala","Tender chicken cooked in a creamy tomato-based sauce",13.99,4.10,10
13,"BBQ Chicken Pizza","Thin crust pizza topped with BBQ sauce, chicken, and cheese",14.99,4.50,8
14,"Chicken Enchiladas","Rolled tortillas filled with chicken, cheese, and enchilada sauce",11.99,4.20,12
15,"Chicken Noodle Soup","Hearty soup with chicken, vegetables, and egg noodles",8.99,4.40,20
16,"Chicken Satay Skewers","Grilled chicken skewers served with peanut sauce",9.99,4.30,18
17,"Chicken Fried Rice","Classic fried rice with diced chicken, vegetables, and soy sauce",10.99,4.60,15
18,"Chicken Caesar Wrap","Grilled chicken, romaine lettuce, and Caesar dressing wrapped in a tortilla",7.99,4.10,25
19,"Southern Fried Chicken","Crispy fried chicken with a touch of southern spices",12.99,4.50,10
20,"Chicken Quesadilla","Grilled tortilla filled with chicken, cheese, and peppers",9.99,4.20,15
21,"Sabzi Polo With Mahi","Salmon with fine iranian rice ",16.99,4.50,10
22,"Shrimp Scampi","Garlic-infused shrimp sautéed in white wine and butter",14.99,4.30,8
23,"Lobster Bisque","Creamy soup made with tender lobster meat and aromatic spices",11.99,4.40,12
