order_id,food_id,food_num
1,39,2
1,45,2
2,12,3
2,104,2
3,76,1
3,78,3
4,31,4
4,107,3
5,88,4
5,89,2
6,23,1
6,102,1
7,57,3
7,96,2
8,84,4
8,105,4
9,18,2
9,102,3
10,66,3
10,94,2
11,39,1
11,100,1
12,72,4
12,108,3
13,10,2
13,91,4
14,51,1
14,92,2
15,86,1
15,87,3
16,28,4
16,103,4
17,73,2
17,106,5
18,19,3
18,109,2
19,68,1
19,107,3
20,37,4
20,41,2
21,59,2
21,110,3
22,13,1
22,109,4
23,79,3
23,93,1
24,21,2
24,33,4
25,87,2
25,102,3
26,21,3
26,105,4
27,64,1
27,99,2
28,38,1
28,41,4
29,54,2
29,92,2
30,27,3
30,101,3
31,63,1
31,70,1
32,14,4
32,110,1
33,44,2
33,95,1
34,19,1
34,109,7
35,83,3
35,84,3
36,36,4
36,39,3
37,70,4
37,75,2
38,10,2
38,17,3
39,64,1
39,69,1
40,43,4
40,91,4
41,80,2
41,96,5
42,25,1
42,93,1
43,68,3
43,78,3
44,40,4
44,103,1
45,83,2
45,94,3
46,29,3
46,33,2
47,72,1
47,91,3
48,47,4
48,60,4
49,88,5
49,89,2
50,31,3
50,93,4
51,73,1
52,11,4
53,59,2
54,15,1
55,78,3
56,34,4
57,85,2
58,22,3
59,65,1
60,42,4
61,54,2
62,21,1
63,77,3
64,38,4
65,86,2
66,24,3
67,67,1
68,44,4
69,91,2
70,30,3
71,73,1
72,17,4
73,57,2
74,26,1
75,87,3
76,35,4
77,84,2
78,23,3
79,66,1
80,39,4
81,80,2
82,26,1
83,69,3
84,37,4
85,84,2
86,28,3
87,71,1
88,46,4
89,88,2
90,32,3
91,75,1
92,12,4
93,47,2
94,14,1
95,77,3
96,33,4
97,86,2
98,21,3
99,31,1
100,60,4
